background,NOTHING
tench,ANIMAL
goldfish,ANIMAL
great white shark,ANIMAL
tiger shark,ANIMAL
hammerhead,ANIMAL
electric ray,ANIMAL
stingray,ANIMAL
cock,ANIMAL
hen,ANIMAL
ostrich,ANIMAL
brambling,ANIMAL
goldfinch,ANIMAL
house finch,ANIMAL
junco,ANIMAL
indigo bunting,ANIMAL
robin,ANIMAL
bulbul,ANIMAL
jay,ANIMAL
magpie,ANIMAL
chickadee,ANIMAL
water ouzel,ANIMAL
kite,ANIMAL
bald eagle,ANIMAL
vulture,ANIMAL
great grey owl,ANIMAL
European fire salamander,ANIMAL
common newt,ANIMAL
eft,ANIMAL
spotted salamander,ANIMAL
axolotl,ANIMAL
bullfrog,ANIMAL
tree frog,ANIMAL
tailed frog,ANIMAL
loggerhead,ANIMAL
leatherback turtle,ANIMAL
mud turtle,ANIMAL
terrapin,ANIMAL
box turtle,ANIMAL
banded gecko,ANIMAL
common iguana,ANIMAL
American chameleon,ANIMAL
whiptail,ANIMAL
agama,ANIMAL
frilled lizard,ANIMAL
alligator lizard,ANIMAL
Gila monster,ANIMAL
green lizard,ANIMAL
African chameleon,ANIMAL
Komodo dragon,ANIMAL
African crocodile,ANIMAL
American alligator,ANIMAL
triceratops,ANIMAL
thunder snake,ANIMAL
ringneck snake,ANIMAL
hognose snake,ANIMAL
green snake,ANIMAL
king snake,ANIMAL
garter snake,ANIMAL
water snake,ANIMAL
vine snake,ANIMAL
night snake,ANIMAL
boa constrictor,ANIMAL
rock python,ANIMAL
Indian cobra,ANIMAL
green mamba,ANIMAL
sea snake,ANIMAL
horned viper,ANIMAL
diamondback,ANIMAL
sidewinder,ANIMAL
trilobite,ANIMAL
harvestman,ANIMAL
scorpion,ANIMAL
black and gold garden spider,ANIMAL
barn spider,ANIMAL
garden spider,ANIMAL
black widow,ANIMAL
tarantula,ANIMAL
wolf spider,ANIMAL
tick,ANIMAL
centipede,ANIMAL
black grouse,ANIMAL
ptarmigan,ANIMAL
ruffed grouse,ANIMAL
prairie chicken,ANIMAL
peacock,ANIMAL
quail,ANIMAL
partridge,ANIMAL
African grey,ANIMAL
macaw,ANIMAL
sulphur-crested cockatoo,ANIMAL
lorikeet,ANIMAL
coucal,ANIMAL
bee eater,ANIMAL
hornbill,ANIMAL
hummingbird,ANIMAL
jacamar,ANIMAL
toucan,ANIMAL
drake,ANIMAL
red-breasted merganser,ANIMAL
goose,ANIMAL
black swan,ANIMAL
tusker,ANIMAL
echidna,ANIMAL
platypus,ANIMAL
wallaby,ANIMAL
koala,ANIMAL
wombat,ANIMAL
jellyfish,ANIMAL
sea anemone,ANIMAL
brain coral,ANIMAL
flatworm,ANIMAL
nematode,ANIMAL
conch,ANIMAL
snail,ANIMAL
slug,ANIMAL
sea slug,ANIMAL
chiton,ANIMAL
chambered nautilus,ANIMAL
Dungeness crab,ANIMAL
rock crab,ANIMAL
fiddler crab,ANIMAL
king crab,ANIMAL
American lobster,ANIMAL
spiny lobster,ANIMAL
crayfish,ANIMAL
hermit crab,ANIMAL
isopod,ANIMAL
white stork,ANIMAL
black stork,ANIMAL
spoonbill,ANIMAL
flamingo,ANIMAL
little blue heron,ANIMAL
American egret,ANIMAL
bittern,ANIMAL
crane,ANIMAL
limpkin,ANIMAL
European gallinule,ANIMAL
American coot,ANIMAL
bustard,ANIMAL
ruddy turnstone,ANIMAL
red-backed sandpiper,ANIMAL
redshank,ANIMAL
dowitcher,ANIMAL
oystercatcher,ANIMAL
pelican,ANIMAL
king penguin,ANIMAL
albatross,ANIMAL
grey whale,ANIMAL
killer whale,ANIMAL
dugong,ANIMAL
sea lion,ANIMAL
Chihuahua,ANIMAL
Japanese spaniel,ANIMAL
Maltese dog,ANIMAL
Pekinese,ANIMAL
Shih-Tzu,ANIMAL
Blenheim spaniel,ANIMAL
papillon,ANIMAL
toy terrier,ANIMAL
Rhodesian ridgeback,ANIMAL
Afghan hound,ANIMAL
basset,ANIMAL
beagle,ANIMAL
bloodhound,ANIMAL
bluetick,ANIMAL
black-and-tan coonhound,ANIMAL
Walker hound,ANIMAL
English foxhound,ANIMAL
redbone,ANIMAL
borzoi,ANIMAL
Irish wolfhound,ANIMAL
Italian greyhound,ANIMAL
whippet,ANIMAL
Ibizan hound,ANIMAL
Norwegian elkhound,ANIMAL
otterhound,ANIMAL
Saluki,ANIMAL
Scottish deerhound,ANIMAL
Weimaraner,ANIMAL
Staffordshire bullterrier,ANIMAL
American Staffordshire terrier,ANIMAL
Bedlington terrier,ANIMAL
Border terrier,ANIMAL
Kerry blue terrier,ANIMAL
Irish terrier,ANIMAL
Norfolk terrier,ANIMAL
Norwich terrier,ANIMAL
Yorkshire terrier,ANIMAL
wire-haired fox terrier,ANIMAL
Lakeland terrier,ANIMAL
Sealyham terrier,ANIMAL
Airedale,ANIMAL
cairn,ANIMAL
Australian terrier,ANIMAL
Dandie Dinmont,ANIMAL
Boston bull,ANIMAL
miniature schnauzer,ANIMAL
giant schnauzer,ANIMAL
standard schnauzer,ANIMAL
Scotch terrier,ANIMAL
